Rk;Player;Nacionalidad;Posicion;Equipo;Competicion;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;;CrdY;CrdR
771;Radu Drăgușin;ro ROU;DF;Genoa;it Serie A;21;2002;19;19;1710;19.0;2;1;3;2;0;;1;0
772;Dion Drena Beljo;hr CRO;FW,MF;Augsburg;de Bundesliga;21;2002;26;3;581;6.5;2;0;2;2;0;;2;0
773;Tim Drexler;de GER;DF;Hoffenheim;de Bundesliga;18;2005;8;6;573;6.4;0;0;0;0;0;;1;0
774;Domingos Duarte;pt POR;DF;Getafe;es La Liga;28;1995;15;11;907;10.1;0;0;0;0;0;;5;2
775;Rubén Duarte;es ESP;DF;Alavés;es La Liga;27;1995;28;21;1878;20.9;2;1;3;2;0;;7;0
776;Martin Dúbravka;sk SVK;GK;Newcastle Utd;eng Premier League;34;1989;23;22;1985;22.1;0;0;0;0;0;;1;0
777;Marvin Ducksch;de GER;FW;Werder Bremen;de Bundesliga;29;1994;33;32;2696;30.0;12;9;21;7;5;;9;0
778;Ondrej Duda;sk SVK;MF;Hellas Verona;it Serie A;28;1994;32;29;2456;27.3;1;4;5;1;0;;14;2
779;Denzel Dumfries;nl NED;DF;Inter;it Serie A;27;1996;31;19;1639;18.2;4;4;8;4;0;;2;1
780;Paul Dummett;wls WAL;DF;Newcastle Utd;eng Premier League;31;1991;5;0;20;0.2;0;0;0;0;0;;0;0
781;Alfred Duncan;gh GHA;MF;Fiorentina;it Serie A;30;1993;30;24;1888;21.0;2;5;7;2;0;;2;0
782;Lewis Dunk;eng ENG;DF;Brighton;eng Premier League;31;1991;33;33;2869;31.9;3;1;4;3;0;;7;1
783;Jhon Durán;co COL;FW,MF;Aston Villa;eng Premier League;19;2003;23;3;475;5.3;5;0;5;5;0;;5;0
784;Julien Duranville;be BEL;FW,MF;Dortmund;de Bundesliga;17;2006;2;0;12;0.1;0;0;0;0;0;;0;0
785;Hugo Duro;es ESP;FW;Valencia;es La Liga;23;1999;37;35;2976;33.1;13;2;15;13;0;;4;0
786;Jean-Kevin Duverne;ht HAI;DF;Nantes;fr Ligue 1;26;1997;19;15;1348;15.0;0;0;0;0;0;;5;0
