Rk;Player;Nacionalidad;Posicion;Equipo;Competicion;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;;CrdY;CrdR
1291;Waren Kamanzi;no NOR;DF,FW;Toulouse;fr Ligue 1;22;2000;24;12;1187;13.2;0;3;3;0;0;;1;0
1292;Boubacar Kamara;fr FRA;MF;Aston Villa;eng Premier League;23;1999;20;20;1652;18.4;0;1;1;0;0;;7;1
1293;Hassane Kamara;ci CIV;DF;Udinese;it Serie A;29;1994;35;27;2225;24.7;1;1;2;1;0;;4;0
1294;Willy Kambwala;fr FRA;DF;Manchester Utd;eng Premier League;18;2004;8;3;330;3.7;0;0;0;0;0;;1;0
1295;Jakub Kamiński;pl POL;FW,MF;Wolfsburg;de Bundesliga;21;2002;17;4;473;5.3;0;2;2;0;0;;0;0
1296;Thomas Kaminski;be BEL;GK;Luton Town;eng Premier League;30;1992;38;38;3405;37.8;0;0;0;0;0;;3;0
1297;Kevin Kampl;si SVN;MF;RB Leipzig;de Bundesliga;32;1990;26;14;1363;15.1;1;0;1;1;0;;3;0
1298;Harry Kane;eng ENG;FW;Bayern Munich;de Bundesliga;30;1993;32;32;2839;31.5;36;8;44;31;5;;2;0
1299;Lee Kang-in;kr KOR;FW,MF;Paris S-G;fr Ligue 1;22;2001;23;18;1464;16.3;3;4;7;3;0;;2;0
1300;Yann Karamoh;fr FRA;MF,FW;Torino;it Serie A;25;1998;10;1;162;1.8;0;0;0;0;0;;0;0
1301;Yann Karamoh;fr FRA;FW,MF;Montpellier;fr Ligue 1;25;1998;12;1;284;3.2;1;0;1;1;0;;1;0
1302;Atakan Karazor;de GER;MF;Stuttgart;de Bundesliga;26;1996;33;31;2623;29.1;0;4;4;0;0;;9;0
1303;Ayman Kari;fr FRA;MF;Lorient;fr Ligue 1;18;2004;14;12;893;9.9;1;1;2;1;0;;1;0
1304;Emir Karic;at AUT;DF;Darmstadt 98;de Bundesliga;26;1997;27;18;1783;19.8;0;0;0;0;0;;4;0
1305;Loris Karius;de GER;GK;Newcastle Utd;eng Premier League;30;1993;1;1;90;1.0;0;0;0;0;0;;0;0
1306;Jesper Karlsson;se SWE;FW;Bologna;it Serie A;25;1998;7;4;344;3.8;0;0;0;0;0;;0;0
1307;Jon Karrikaburu;es ESP;MF,FW;Alavés;es La Liga;20;2002;2;0;16;0.2;0;0;0;0;0;;0;0
1308;Rick Karsdorp;nl NED;DF;Roma;it Serie A;28;1995;18;14;1191;13.2;0;2;2;0;0;;2;0
1309;Grigoris Kastanos;cy CYP;MF,DF;Salernitana;it Serie A;25;1998;26;18;1480;16.4;3;3;6;3;0;;5;0
1310;Silas Katompa;cd COD;FW,MF;Stuttgart;de Bundesliga;24;1998;27;8;900;10.0;5;2;7;5;0;;0;0
1311;Panos Katseris;gr GRE;DF;Lorient;fr Ligue 1;22;2001;15;13;1041;11.6;1;1;2;1;0;;4;0
1312;Mikkel Kaufmann;dk DEN;FW;Union Berlin;de Bundesliga;22;2001;18;4;486;5.4;1;0;1;1;0;;0;0
1313;Michael Kayode;it ITA;DF;Fiorentina;it Serie A;19;2004;26;22;2058;22.9;1;1;2;1;0;;2;0
1314;Moise Kean;it ITA;FW;Juventus;it Serie A;23;2000;19;8;654;7.3;0;0;0;0;0;;2;0
1315;Michael Keane;eng ENG;DF;Everton;eng Premier League;30;1993;9;4;439;4.9;1;0;1;1;0;;2;0
1316;Ibrahima Kebe;ml MLI;MF;Girona;es La Liga;22;2000;2;0;9;0.1;0;0;0;0;0;;1;0
1317;Kévin Keben Biakolo;cm CMR;DF;Toulouse;fr Ligue 1;19;2004;8;7;521;5.8;0;0;0;0;0;;1;0
1318;Yassine Kechta;ma MAR;MF;Le Havre;fr Ligue 1;21;2002;32;21;1849;20.5;2;1;3;2;0;;4;0
1319;Thilo Kehrer;de GER;DF,MF;West Ham;eng Premier League;26;1996;4;0;22;0.2;0;0;0;0;0;;2;0
1320;Thilo Kehrer;de GER;DF;Monaco;fr Ligue 1;26;1996;15;15;1323;14.7;1;1;2;1;0;;4;1
1321;Habib Keita;ml MLI;MF;Clermont Foot;fr Ligue 1;21;2002;27;12;1278;14.2;1;0;1;1;0;;4;0
1322;Naby Keïta;gn GUI;MF,DF;Werder Bremen;de Bundesliga;28;1995;5;1;109;1.2;0;0;0;0;0;;2;0
1323;Yannik Keitel;de GER;DF,MF;Freiburg;de Bundesliga;23;2000;15;11;920;10.2;1;0;1;1;0;;0;0
1324;Caoimhín Kelleher;ie IRL;GK;Liverpool;eng Premier League;24;1998;10;10;900;10.0;0;0;0;0;0;;0;0
1325;Thomas Keller;de GER;MF,FW;Heidenheim;de Bundesliga;23;1999;2;0;2;0.0;0;0;0;0;0;;0;0
1326;Lloyd Kelly;eng ENG;DF;Bournemouth;eng Premier League;24;1998;23;17;1559;17.3;0;1;1;0;0;;2;0
1327;Omari Kellyman;eng ENG;FW;Aston Villa;eng Premier League;17;2005;2;0;37;0.4;0;0;0;0;0;;0;0
1328;Aljoscha Kemlein;de GER;MF;Union Berlin;de Bundesliga;18;2004;2;0;29;0.3;0;0;0;0;0;;0;0
1329;Tobias Kempe;de GER;MF;Darmstadt 98;de Bundesliga;34;1989;24;15;1350;15.0;3;2;5;0;3;;1;0
1330;Milos Kerkez;hu HUN;DF;Bournemouth;eng Premier League;19;2003;28;22;1970;21.9;0;1;1;0;0;;4;1
1331;Kaine Kesler-Hayden;eng ENG;MF,DF;Aston Villa;eng Premier League;20;2002;3;0;6;0.1;0;0;0;0;0;;0;0
1332;Reda Khadra;de GER;FW,MF;Reims;fr Ligue 1;22;2001;29;14;1368;15.2;1;3;4;1;0;;1;0
1333;Wahbi Khazri;tn TUN;FW;Montpellier;fr Ligue 1;32;1991;25;13;1131;12.6;1;0;1;1;0;;6;0
1334;Rani Khedira;de GER;MF;Union Berlin;de Bundesliga;29;1994;20;18;1343;14.9;0;0;0;0;0;;5;1
1335;Abdukodir Khusanov;uz UZB;DF;Lens;fr Ligue 1;19;2004;11;9;809;9.0;0;0;0;0;0;;5;0
1336;Kiké;es ESP;FW,MF;Alavés;es La Liga;33;1989;33;15;1423;15.8;3;2;5;3;0;;3;0
1337;Luca Kilian;de GER;DF;Köln;de Bundesliga;23;1999;13;6;635;7.1;0;0;0;0;0;;1;0
1338;Max Kilman;eng ENG;DF;Wolves;eng Premier League;26;1997;38;38;3420;38.0;2;0;2;2;0;;7;0
1339;Joshua Kimmich;de GER;MF,DF;Bayern Munich;de Bundesliga;28;1995;28;27;2176;24.2;1;6;7;1;0;;1;1
1340;Jakub Kiwior;pl POL;DF;Arsenal;eng Premier League;23;2000;20;11;946;10.5;1;3;4;1;0;;1;0
1341;Simon Kjær;dk DEN;DF;Milan;it Serie A;34;1989;20;14;1171;13.0;0;1;1;0;0;;1;0
1342;Davy Klaassen;nl NED;MF;Inter;it Serie A;30;1993;13;1;206;2.3;0;0;0;0;0;;1;0
1343;Christoph Klarer;at AUT;DF;Darmstadt 98;de Bundesliga;23;2000;30;28;2354;26.2;2;2;4;2;0;;9;0
1344;Tim Kleindienst;de GER;FW;Heidenheim;de Bundesliga;27;1995;33;33;2869;31.9;12;3;15;10;2;;6;0
1345;Lukas Klostermann;de GER;DF;RB Leipzig;de Bundesliga;27;1996;25;16;1436;16.0;1;0;1;1;0;;3;0
1346;Justin Kluivert;nl NED;MF,FW;Bournemouth;eng Premier League;24;1999;32;26;1916;21.3;7;1;8;7;0;;5;0
1347;Ansgar Knauff;de GER;MF,DF;Eint Frankfurt;de Bundesliga;21;2002;31;24;2109;23.4;7;2;9;7;0;;7;1
1348;Robin Knoche;de GER;DF;Union Berlin;de Bundesliga;31;1992;24;20;1917;21.3;1;0;1;1;0;;1;0
1349;Gregor Kobel;ch SUI;GK;Dortmund;de Bundesliga;25;1997;27;27;2365;26.3;0;0;0;0;0;;1;0
1350;Robin Koch;de GER;DF;Eint Frankfurt;de Bundesliga;27;1996;31;31;2738;30.4;2;0;2;2;0;;10;0
1351;Philipp Köhn;ch SUI;GK;Monaco;fr Ligue 1;25;1998;22;22;1980;22.0;0;0;0;0;0;;0;0
1352;Dominik Kohr;de GER;DF,MF;Mainz 05;de Bundesliga;29;1994;31;27;2184;24.3;1;0;1;1;0;;15;1
1353;Koke;es ESP;MF;Atlético Madrid;es La Liga;31;1992;35;32;2493;27.7;0;4;4;0;0;;5;0
1354;Sead Kolašinac;ba BIH;DF;Atalanta;it Serie A;30;1993;30;25;2178;24.2;1;0;1;1;0;;4;0
1355;Luca Koleosho;it ITA;MF,FW;Burnley;eng Premier League;18;2004;15;13;974;10.8;1;1;2;1;0;;0;0
1356;Randal Kolo Muani;fr FRA;FW,MF;Paris S-G;fr Ligue 1;24;1998;26;13;1268;14.1;6;5;11;6;0;;1;0
1357;Randal Kolo Muani;fr FRA;FW;Eint Frankfurt;de Bundesliga;24;1998;2;2;153;1.7;1;0;1;1;0;;0;0
1358;Mert Kömür;de GER;MF,DF;Augsburg;de Bundesliga;18;2005;4;1;118;1.3;1;0;1;1;0;;0;0
1359;Cheick Konaté;ml MLI;DF;Clermont Foot;fr Ligue 1;19;2004;19;12;1068;11.9;1;1;2;1;0;;4;0
1360;Ibrahima Konaté;fr FRA;DF;Liverpool;eng Premier League;24;1999;22;17;1574;17.5;0;0;0;0;0;;5;1
1361;Geoffrey Kondogbia;cf CTA;MF;Marseille;fr Ligue 1;30;1993;26;15;1463;16.3;0;0;0;0;0;;3;0
1362;Abdoul Koné;fr FRA;DF;Reims;fr Ligue 1;18;2005;3;3;193;2.1;0;0;0;0;0;;1;0
1363;Amadou Koné;ml MLI;MF;Reims;fr Ligue 1;18;2005;16;4;475;5.3;0;0;0;0;0;;4;1
1364;Ibrahima Koné;ml MLI;FW;Almería;es La Liga;24;1999;9;2;277;3.1;0;0;0;0;0;;0;0
1365;Ibrahima Koné;ml MLI;FW;Lorient;fr Ligue 1;24;1999;1;0;32;0.4;0;0;0;0;0;;0;0
1366;Manu Koné;fr FRA;MF;Gladbach;de Bundesliga;22;2001;22;18;1561;17.3;1;0;1;1;0;;4;1
1367;Ezri Konsa;eng ENG;DF;Aston Villa;eng Premier League;25;1997;35;35;3069;34.1;1;0;1;1;0;;5;0
1368;Teun Koopmeiners;nl NED;MF;Atalanta;it Serie A;25;1998;34;29;2627;29.2;12;5;17;10;2;;5;0
1369;Odilon Kossonou;ci CIV;DF;Leverkusen;de Bundesliga;22;2001;22;21;1811;20.1;1;0;1;1;0;;3;0
1370;Filip Kostić;rs SRB;DF;Juventus;it Serie A;30;1992;29;26;1815;20.2;0;4;4;0;0;;2;0
1371;Christian Kouamé;ci CIV;FW;Fiorentina;it Serie A;25;1997;23;11;1089;12.1;2;1;3;2;0;;0;0
1372;Rominigue Kouamé;ml MLI;MF;Cádiz;es La Liga;26;1996;16;9;821;9.1;0;0;0;0;0;;2;0
1373;Koffi Kouao;ci CIV;DF;Metz;fr Ligue 1;25;1998;13;10;860;9.6;0;2;2;0;0;;2;0
1374;Tomáš Koubek;cz CZE;GK;Augsburg;de Bundesliga;30;1992;3;3;270;3.0;0;0;0;0;0;;0;0
1375;Therence Koudou;fr FRA;DF;Reims;fr Ligue 1;18;2004;9;3;314;3.5;0;0;0;0;0;;3;0
1376;Jules Koundé;fr FRA;DF;Barcelona;es La Liga;24;1998;35;32;2899;32.2;1;2;3;1;0;;4;0
1377;Boubakar Kouyaté;ml MLI;DF;Montpellier;fr Ligue 1;26;1997;23;22;1928;21.4;0;2;2;0;0;;5;1
1378;Cheikhou Kouyaté;sn SEN;MF;Nott'ham Forest;eng Premier League;33;1989;12;2;212;2.4;0;0;0;0;0;;2;0
1379;Mateo Kovačić;hr CRO;MF;Manchester City;eng Premier League;29;1994;30;16;1551;17.2;1;0;1;1;0;;4;0
1380;Viktor Kovalenko;ua UKR;MF;Empoli;it Serie A;27;1996;17;4;613;6.8;1;1;2;1;0;;1;0
1381;Matej Kovar;cz CZE;GK;Leverkusen;de Bundesliga;23;2000;1;1;90;1.0;0;0;0;0;0;;0;0
1382;Dawid Kownacki;pl POL;FW;Werder Bremen;de Bundesliga;26;1997;22;3;380;4.2;0;0;0;0;0;;0;0
1383;Emil Krafth;se SWE;DF;Newcastle Utd;eng Premier League;28;1994;17;8;913;10.1;0;0;0;0;0;;2;0
1384;Alex Král;cz CZE;MF;Union Berlin;de Bundesliga;25;1998;24;13;1370;15.2;0;0;0;0;0;;2;0
1385;Andrej Kramarić;hr CRO;MF,FW;Hoffenheim;de Bundesliga;32;1991;30;25;2199;24.4;15;6;21;10;5;;4;0
1386;Christoph Kramer;de GER;MF;Gladbach;de Bundesliga;32;1991;14;1;249;2.8;0;0;0;0;0;;4;0
1387;Frans Krätzig;de GER;DF;Bayern Munich;de Bundesliga;20;2003;4;0;56;0.6;0;0;0;0;0;;0;0
1388;Tom Krauß;de GER;MF;Mainz 05;de Bundesliga;22;2001;29;13;1346;15.0;1;2;3;1;0;;5;0
1389;Rasmus Kristensen;dk DEN;DF;Roma;it Serie A;26;1997;29;19;1744;19.4;1;1;2;1;0;;5;0
1390;Thomas Kristensen;dk DEN;DF;Udinese;it Serie A;21;2002;26;23;2096;23.3;0;1;1;0;0;;4;1
1391;Toni Kroos;de GER;MF;Real Madrid;es La Liga;33;1990;33;24;2124;23.6;1;8;9;1;0;;3;0
1392;Nikola Krstović;me MNE;FW;Lecce;it Serie A;23;2000;35;30;2373;26.4;7;1;8;6;1;;4;1
1393;Rade Krunić;ba BIH;MF;Milan;it Serie A;29;1993;10;8;687;7.6;0;0;0;0;0;;3;0
1394;Lukas Kübler;de GER;DF;Freiburg;de Bundesliga;30;1992;26;22;1847;20.5;1;0;1;1;0;;7;0
1395;Takefusa Kubo;jp JPN;FW,MF;Real Sociedad;es La Liga;22;2001;30;24;2150;23.9;7;4;11;7;0;;1;0
1396;Mahmut Kücüksahin;;MF;Augsburg;de Bundesliga;19;2004;1;0;1;0.0;0;0;0;0;0;;0;0
1397;Mohammed Kudus;gh GHA;FW,MF;West Ham;eng Premier League;22;2000;33;27;2484;27.6;8;6;14;8;0;;6;0
1398;Christian Kühlwetter;de GER;MF;Heidenheim;de Bundesliga;27;1996;1;0;8;0.1;0;1;1;0;0;;0;0
1399;Dejan Kulusevski;se SWE;FW,MF;Tottenham;eng Premier League;23;2000;36;31;2762;30.7;8;3;11;8;0;;7;0
1400;Sael Kumbedi;fr FRA;DF;Lyon;fr Ligue 1;18;2005;17;8;924;10.3;0;1;1;0;0;;3;0
1401;Marash Kumbulla;al ALB;DF;Sassuolo;it Serie A;23;2000;7;3;362;4.0;0;0;0;0;0;;1;0
1402;Justin Kumi;it ITA;FW;Sassuolo;it Serie A;19;2004;1;0;4;0.0;0;0;0;0;0;;0;0
1403;Layvin Kurzawa;fr FRA;DF;Paris S-G;fr Ligue 1;30;1992;1;0;9;0.1;0;0;0;0;0;;0;0
1404;Berkan Kutlu;tr TUR;MF;Genoa;it Serie A;25;1998;6;0;199;2.2;0;0;0;0;0;;0;0
1405;Daler Kuzyaev;ru RUS;MF;Le Havre;fr Ligue 1;30;1993;30;24;2090;23.2;2;2;4;2;0;;1;0
1406;Khvicha Kvaratskhelia;ge GEO;FW;Napoli;it Serie A;22;2001;34;32;2737;30.4;11;6;17;11;0;;8;0
1407;Giorgi Kvernadze;ge GEO;FW,DF;Frosinone;it Serie A;20;2003;5;0;63;0.7;0;0;0;0;0;;0;0
1408;Moritz-Broni Kwarteng;gh GHA;FW;Bochum;de Bundesliga;25;1998;11;2;281;3.1;0;1;1;0;0;;1;1
1409;Grejohn Kyei;fr FRA;FW;Clermont Foot;fr Ligue 1;27;1995;26;10;1026;11.4;2;1;3;1;1;;1;0
1410;Giorgos Kyriakopoulos;gr GRE;DF;Monza;it Serie A;27;1996;28;20;1712;19.0;0;3;3;0;0;;3;0
1411;Luca de la Torre;us USA;MF;Celta Vigo;es La Liga;25;1998;31;22;1956;21.7;1;4;5;1;0;;4;1
1412;Gaëtan Laborde;fr FRA;FW,MF;Nice;fr Ligue 1;29;1994;34;22;1906;21.2;5;2;7;4;1;;2;0
1413;Alexandre Lacazette;fr FRA;FW;Lyon;fr Ligue 1;32;1991;29;27;2293;25.5;19;2;21;17;2;;3;1
1414;Maxence Lacroix;fr FRA;DF;Wolfsburg;de Bundesliga;23;2000;28;27;2362;26.2;4;1;5;4;0;;5;3
1415;Alban Lafont;fr FRA;GK;Nantes;fr Ligue 1;24;1999;28;28;2496;27.7;0;0;0;0;0;;2;0
1416;Yoel Lago;es ESP;DF;Celta Vigo;es La Liga;19;2004;1;1;90;1.0;0;0;0;0;0;;0;0
1417;Aïssa Laïdouni;tn TUN;MF;Union Berlin;de Bundesliga;26;1996;23;10;1071;11.9;0;3;3;0;0;;2;0
1418;Konrad Laimer;at AUT;DF,MF;Bayern Munich;de Bundesliga;26;1997;29;18;1772;19.7;0;3;3;0;0;;3;0
1419;Stefan Lainer;at AUT;DF,MF;Gladbach;de Bundesliga;30;1992;15;8;751;8.3;0;1;1;0;0;;2;0
1420;Kenny Lala;mg MAD;DF;Brest;fr Ligue 1;31;1991;33;33;2970;33.0;2;3;5;2;0;;7;0
1421;Adam Lallana;eng ENG;MF,FW;Brighton;eng Premier League;35;1988;25;13;850;9.4;0;1;1;0;0;;2;0
1422;Mathis Lambourde;fr FRA;FW;Rennes;fr Ligue 1;17;2006;1;0;10;0.1;0;0;0;0;0;;0;0
1423;Érik Lamela;ar ARG;FW,MF;Sevilla;es La Liga;31;1992;13;5;463;5.1;2;0;2;2;0;;3;0
1424;Mohamed Lamine Bayo;gn GUI;FW;Le Havre;fr Ligue 1;25;1998;22;16;1389;15.4;5;1;6;3;2;;4;0
1425;Didier Lamkel Zé;cm CMR;FW,MF;Metz;fr Ligue 1;26;1996;9;7;550;6.1;1;0;1;1;0;;1;0
1426;Tariq Lamptey;gh GHA;DF,FW;Brighton;eng Premier League;22;2000;19;10;914;10.2;0;3;3;0;0;;3;0
1427;Bruno Langa;mz MOZ;DF;Almería;es La Liga;25;1997;11;9;820;9.1;1;0;1;1;0;;1;1
1428;Gianluca Lapadula;pe PER;FW;Cagliari;it Serie A;33;1990;23;14;1205;13.4;3;1;4;2;1;;3;0
1429;Aymeric Laporte;es ESP;DF;Manchester City;eng Premier League;29;1994;1;0;12;0.1;0;0;0;0;0;;0;0
1430;Julien Laporte;fr FRA;DF;Lorient;fr Ligue 1;29;1993;23;20;1818;20.2;0;0;0;0;0;;4;0
1431;Cyle Larin;ca CAN;FW;Mallorca;es La Liga;28;1995;35;20;1823;20.3;3;2;5;3;0;;8;0
1432;Yasser Larouci;dz ALG;DF;Sheffield Utd;eng Premier League;22;2001;11;6;531;5.9;0;0;0;0;0;;1;0
1433;Hugo Larsson;se SWE;MF;Eint Frankfurt;de Bundesliga;19;2004;29;21;1886;21.0;2;1;3;2;0;;1;0
1434;Jamaal Lascelles;eng ENG;DF;Newcastle Utd;eng Premier League;29;1993;16;13;1080;12.0;1;0;1;1;0;;4;0
1435;Juanmi Latasa;es ESP;FW;Getafe;es La Liga;22;2001;32;15;1555;17.3;2;0;2;2;0;;7;1
1436;Toni Lato;es ESP;DF;Mallorca;es La Liga;25;1997;28;16;1544;17.2;0;1;1;0;0;;3;0
1437;Armand Lauriente;fr FRA;FW;Sassuolo;it Serie A;24;1998;37;35;2908;32.3;5;4;9;5;0;;5;0
1438;Roméo Lavia;be BEL;MF;Chelsea;eng Premier League;19;2004;1;0;33;0.4;0;0;0;0;0;;0;0
1439;Lázaro;br BRA;FW,MF;Almería;es La Liga;21;2002;14;2;285;3.2;0;0;0;0;0;;0;0
1440;Valentino Lazaro;at AUT;DF,MF;Torino;it Serie A;27;1996;35;21;1994;22.2;0;4;4;0;0;;3;0
1441;Darko Lazović;rs SRB;FW,MF;Hellas Verona;it Serie A;32;1990;32;22;1928;21.4;3;2;5;2;1;;0;1
1442;Manuel Lazzari;it ITA;DF;Lazio;it Serie A;29;1993;24;19;1671;18.6;0;2;2;0;0;;4;1
1443;Théo Le Bris;fr FRA;DF,MF;Lorient;fr Ligue 1;20;2002;26;15;1516;16.8;0;2;2;0;0;;2;0
1444;Julien Le Cardinal;fr FRA;DF;Brest;fr Ligue 1;25;1997;12;5;473;5.3;0;0;0;0;0;;3;0
1445;Julien Le Cardinal;fr FRA;DF;Lens;fr Ligue 1;25;1997;2;0;58;0.6;0;0;0;0;0;;0;0
1446;Jérémy Le Douaron;fr FRA;FW;Brest;fr Ligue 1;25;1998;33;19;1618;18.0;4;0;4;4;0;;3;0
1447;Enzo Le Fée;fr FRA;MF;Rennes;fr Ligue 1;23;2000;25;19;1527;17.0;0;1;1;0;0;;3;0
1448;Vincent Le Goff;fr FRA;DF,MF;Lorient;fr Ligue 1;33;1989;9;8;541;6.0;1;1;2;1;0;;1;0
1449;Robin Le Normand;es ESP;DF;Real Sociedad;es La Liga;26;1996;29;28;2469;27.4;2;0;2;2;0;;13;0
1450;Nicola Leali;it ITA;GK;Genoa;it Serie A;30;1993;3;2;176;2.0;0;0;0;0;0;;1;0
1451;Rafael Leão;pt POR;FW;Milan;it Serie A;24;1999;34;29;2512;27.9;9;9;18;9;0;;5;0
1452;Adrien Lebeau;fr FRA;MF,FW;Brest;fr Ligue 1;24;1999;7;0;54;0.6;0;1;1;0;0;;0;0
1453;Jean-Louis Leca;fr FRA;GK;Lens;fr Ligue 1;37;1985;1;1;90;1.0;0;0;0;0;0;;0;0
1454;Benjamin Lecomte;fr FRA;GK;Montpellier;fr Ligue 1;32;1991;30;30;2700;30.0;0;1;1;0;0;;1;0
1455;Jeremías Ledesma;ar ARG;GK;Cádiz;es La Liga;30;1993;34;34;3048;33.9;0;0;0;0;0;;0;0
1456;Pierre Lees-Melou;fr FRA;MF;Brest;fr Ligue 1;30;1993;29;29;2517;28.0;4;0;4;4;0;;12;1
1457;Diogo Leite;pt POR;DF;Union Berlin;de Bundesliga;24;1999;32;31;2702;30.0;0;0;0;0;0;;6;0
1458;Maxim Leitsch;de GER;DF;Mainz 05;de Bundesliga;25;1998;7;4;379;4.2;0;0;0;0;0;;0;0
1459;Florian Lejeune;fr FRA;DF;Rayo Vallecano;es La Liga;32;1991;37;37;3327;37.0;3;1;4;3;0;;5;0
1460;Stefan Lekovic;rs SRB;DF;Villarreal;es La Liga;19;2004;1;0;29;0.3;0;0;0;0;0;;0;0
1461;Iñigo Lekue;es ESP;DF;Athletic Club;es La Liga;30;1993;27;22;2002;22.2;0;2;2;0;0;;4;0
1462;Thomas Lemar;fr FRA;MF;Atlético Madrid;es La Liga;27;1995;3;3;164;1.8;0;0;0;0;0;;0;0
1463;Mario Lemina;ga GAB;MF;Wolves;eng Premier League;29;1993;35;34;2968;33.0;4;1;5;4;0;;12;1
1464;Álvaro Lemos;es ESP;DF;Las Palmas;es La Liga;30;1993;4;3;251;2.8;0;0;0;0;0;;1;0
1465;Ruben Lendinez;es ESP;DF;Valencia;es La Liga;20;2003;1;0;11;0.1;0;0;0;0;0;;0;0
1466;Clément Lenglet;fr FRA;DF;Aston Villa;eng Premier League;28;1995;14;14;1153;12.8;0;1;1;0;0;;3;0
1467;Bernd Leno;de GER;GK;Fulham;eng Premier League;31;1992;38;38;3420;38.0;0;0;0;0;0;;3;0
1468;Christopher Lenz;de GER;DF,MF;RB Leipzig;de Bundesliga;28;1994;5;0;47;0.5;0;0;0;0;0;;0;0
1469;Christopher Lenz;de GER;DF;Eint Frankfurt;de Bundesliga;28;1994;1;0;10;0.1;0;0;0;0;0;;0;0
1470;Johann Lepenant;fr FRA;MF;Lyon;fr Ligue 1;20;2002;6;2;253;2.8;0;0;0;0;0;;1;0
1471;Jefferson Lerma;co COL;MF,DF;Crystal Palace;eng Premier League;28;1994;28;27;2400;26.7;1;1;2;1;0;;8;0
1472;Léo Leroy;fr FRA;MF;Montpellier;fr Ligue 1;23;2000;21;3;499;5.5;0;1;1;0;0;;4;0
1473;Robert Lewandowski;pl POL;FW;Barcelona;es La Liga;34;1988;35;32;2750;30.6;19;8;27;15;4;;5;0
1474;Jamie Leweling;de GER;FW,MF;Stuttgart;de Bundesliga;22;2001;34;17;1523;16.9;4;4;8;4;0;;3;0
1475;Rico Lewis;eng ENG;DF,MF;Manchester City;eng Premier League;18;2004;16;8;809;9.0;2;0;2;2;0;;1;0
1476;Keane Lewis-Potter;eng ENG;FW,DF;Brentford;eng Premier League;22;2001;30;15;1441;16.0;3;1;4;3;0;;0;0
1477;Philipp Lienhart;at AUT;DF;Freiburg;de Bundesliga;27;1996;15;14;1265;14.1;1;0;1;1;0;;3;0
1478;Matthijs de Ligt;nl NED;DF;Bayern Munich;de Bundesliga;23;1999;22;16;1390;15.4;2;0;2;2;0;;5;0
1479;Victor Lindelöf;se SWE;DF;Manchester Utd;eng Premier League;29;1994;19;14;1328;14.8;1;1;2;1;0;;2;0
1480;Jesper Lindstrøm;dk DEN;FW,MF;Napoli;it Serie A;23;2000;22;2;430;4.8;0;0;0;0;0;;2;0
1481;Jesper Lindstrøm;dk DEN;FW;Eint Frankfurt;de Bundesliga;23;2000;1;1;83;0.9;0;0;0;0;0;;0;0
1482;Karol Linetty;pl POL;MF;Torino;it Serie A;28;1995;28;19;1858;20.6;0;0;0;0;0;;12;0
1483;Samuel Lino;br BRA;DF,MF;Atlético Madrid;es La Liga;23;1999;34;25;2080;23.1;4;5;9;4;0;;1;0
1484;Luca Lipani;it ITA;MF;Sassuolo;it Serie A;18;2005;8;5;384;4.3;0;0;0;0;0;;0;0
1485;Pol Lirola;es ESP;DF;Frosinone;it Serie A;25;1997;25;18;1536;17.1;2;1;3;2;0;;1;0
1486;Marcin Listkowski;pl POL;FW;Lecce;it Serie A;25;1998;1;0;8;0.1;0;0;0;0;0;;0;0
1487;Valentino Livramento;eng ENG;DF;Newcastle Utd;eng Premier League;20;2002;26;12;1314;14.6;1;0;1;1;0;;1;0
1488;Dejan Ljubicic;at AUT;MF,FW;Köln;de Bundesliga;25;1997;26;24;2048;22.8;0;2;2;0;0;;6;0
1489;Javier Llabrés;es ESP;MF,FW;Mallorca;es La Liga;20;2002;16;1;247;2.7;1;0;1;1;0;;1;0
1490;Diego Llorente;es ESP;DF;Roma;it Serie A;29;1993;29;27;2170;24.1;1;1;2;1;0;;5;0
1491;Marcos Llorente;es ESP;MF,DF;Atlético Madrid;es La Liga;28;1995;37;29;2565;28.5;6;4;10;6;0;;5;0
1492;Gautier Lloris;fr FRA;DF;Le Havre;fr Ligue 1;28;1995;31;31;2778;30.9;2;0;2;2;0;;2;0
1493;Abou Lô;sn SEN;MF,DF;Metz;fr Ligue 1;23;2000;6;2;197;2.2;0;0;0;0;0;;0;1
1494;Giovani Lo Celso;ar ARG;MF;Tottenham;eng Premier League;27;1996;22;4;506;5.6;2;2;4;2;0;;2;0
1495;Stanislav Lobotka;sk SVK;MF;Napoli;it Serie A;28;1994;38;38;3282;36.5;0;1;1;0;0;;4;0
1496;Manuel Locatelli;it ITA;MF;Juventus;it Serie A;25;1998;36;34;3008;33.4;1;4;5;1;0;;6;0
1497;Bradley Locko;fr FRA;DF;Brest;fr Ligue 1;21;2002;33;33;2959;32.9;0;3;3;0;0;;5;0
1498;Tom Lockyer;wls WAL;DF;Luton Town;eng Premier League;28;1994;14;14;1169;13.0;1;1;2;1;0;;4;0
1499;Renan Lodi;br BRA;DF;Marseille;fr Ligue 1;25;1998;14;14;1235;13.7;0;0;0;0;0;;6;0
1500;Ruben Loftus-Cheek;eng ENG;MF;Milan;it Serie A;27;1996;29;26;2068;23.0;6;1;7;6;0;;5;0
1501;Andy Logbo;fr FRA;FW;Le Havre;fr Ligue 1;19;2004;10;2;248;2.8;0;0;0;0;0;;0;0
